CTCF_GSM733636	AUC = 0.593
EP300_GSM602291	AUC = 0.593
SP1_GSM2065875	AUC = 0.593
RAD21_GSM614629	AUC = 0.593
CTCF_GSM1234028	AUC = 0.593
CTCF_GSM1022644	AUC = 0.592
CTCF_GSM1022675	AUC = 0.592
POU5F1_GSM1705267	AUC = 0.592
CTCF_GSM646454	AUC = 0.592
RAD21_GSM2759387	AUC = 0.592
CBFB_GSM1122302	AUC = 0.592
CTCF_GSM1684572	AUC = 0.592
CTCF_GSM2599086	AUC = 0.592
CTCF_GSM749762	AUC = 0.592
CTCF_ENCSR617IFZ_2	AUC = 0.592
CTCF_GSM849301	AUC = 0.592
CTCF_GSM808764	AUC = 0.592
STAG1_GSM1233886	AUC = 0.592
RXRA_GSM803506	AUC = 0.592
CTCF_GSM1224654	AUC = 0.592
CTCF_GSM646372	AUC = 0.592
CTCF_GSM733695	AUC = 0.591
EZH2_GSM1508941	AUC = 0.591
CTCF_GSM1006891	AUC = 0.591
BRD4_GSM1121099	AUC = 0.591
NANOG_GSM1124071	AUC = 0.591
NR2F1_GSM1817190	AUC = 0.591
CTCF_GSM1224651	AUC = 0.591
CTCF_GSM1233994	AUC = 0.591
CTCF_GSM1022628	AUC = 0.591
SUMO1_GSM1012769	AUC = 0.591
SMC1A_GSM2040030	AUC = 0.591
POU5F1_GSM1705268	AUC = 0.591
EP300_GSM2550230	AUC = 0.591
OTX2_GSM1505711	AUC = 0.591
NCAPH2_GSM2571785	AUC = 0.591
SMC3_GSM1003627	AUC = 0.590
CTCF_GSM749729	AUC = 0.590
CTCF_GSM1022651	AUC = 0.590
CTCF_GSM534471	AUC = 0.590
CTCF_GSM1224649	AUC = 0.590
EP300_GSM602299	AUC = 0.590
CTCF_GSM749673	AUC = 0.590
CTCF_GSM1022650	AUC = 0.590
CTCF_GSM733762	AUC = 0.590
CTCF_GSM646392	AUC = 0.590
NANOG_GSM1505698	AUC = 0.590
CTCF_GSM749686	AUC = 0.590
CTCF_GSM749725	AUC = 0.590
SOX2_GSM1701825	AUC = 0.590
RUNX1_GSM2274676	AUC = 0.590
CTCF_GSM749688	AUC = 0.590
CTCF_GSM749678	AUC = 0.590
CTCF_GSM749687	AUC = 0.590
SUMO1_GSM1012762	AUC = 0.590
CTCF_GSM1705253	AUC = 0.590
CTCF_GSM2178295	AUC = 0.590
RBPJ_GSM1922947	AUC = 0.589
H2AZ_GSM1981414	AUC = 0.589
SOX2_GSM1643798	AUC = 0.589
CTCF_GSM1234027	AUC = 0.589
CTCF_GSM749679	AUC = 0.589
CTCF_GSM749694	AUC = 0.589
CTCF_GSM803453	AUC = 0.589
ZBTB2_GSM2574778	AUC = 0.589
CTCF_GSM733724	AUC = 0.589
TCF12_GSM803427	AUC = 0.589
SUMO1_GSM1035434	AUC = 0.589
H2AZ_GSM2760310	AUC = 0.589
CTCF_GSM1240813	AUC = 0.589
CTCF_GSM1705254	AUC = 0.588
HNF1A_GSM1982474	AUC = 0.588
CTCF_GSM803333	AUC = 0.588
CTCF_GSM749695	AUC = 0.588
MAML3_GSM1693098	AUC = 0.588
SMC1A_GSM2040026	AUC = 0.588
CTCF_ENCSR304XUZ_1	AUC = 0.588
CTCF_GSM1006886	AUC = 0.588
HNF1A_GSM1982476	AUC = 0.588
CTCF_GSM1006893	AUC = 0.588
CTCF_GSM748538	AUC = 0.588
CTCF_GSM749708	AUC = 0.588
ATF3_GSM2333815	AUC = 0.588
SOX2_GSM1643795	AUC = 0.588
RAD21_GSM1240823	AUC = 0.588
SUMO1_GSM1012759	AUC = 0.588
TFAP2A_GSM902779	AUC = 0.588
HAND2_GSM2664371	AUC = 0.588
CTCF_GSM749748	AUC = 0.588
SRF_GSM1505772	AUC = 0.587
NANOG_GSM2648931	AUC = 0.587
CTCF_GSM2026780	AUC = 0.587
CTCF_GSM1022666	AUC = 0.587
CTCF_GSM1224660	AUC = 0.587
GRHL3_GSM2498560	AUC = 0.587
CTCF_GSM1817658	AUC = 0.587
SMAD3_GSM539547	AUC = 0.587
BRD4_GSM1968282	AUC = 0.587
GRHL3_GSM2498561	AUC = 0.587
TCF4_GSM2545828	AUC = 0.587
CNOT3_GSM1617374	AUC = 0.587
CTCF_GSM849300	AUC = 0.587
KMT2A_GSM2364544	AUC = 0.587
EP300_GSM803542	AUC = 0.587
CTCF_GSM749677	AUC = 0.587
SMC1A_GSM2443455	AUC = 0.587
CTCF_ENCSR402IDP_1	AUC = 0.587
CTCF_GSM1294054	AUC = 0.587
CTCF_GSM1335528	AUC = 0.587
POU5F1_GSM545204	AUC = 0.587
CREB1_GSM1010896	AUC = 0.587
CTCF_GSM749779	AUC = 0.587
MAX_GSM1008617	AUC = 0.587
MAX_GSM894103	AUC = 0.587
CTCF_GSM849305	AUC = 0.586
SMC1A_GSM2809611	AUC = 0.586
H2AZ_GSM1003505	AUC = 0.586
CTCF_GSM1022653	AUC = 0.586
CTCF_ENCSR769WKR_1	AUC = 0.586
SP1_GSM855449	AUC = 0.586
CTCF_GSM1022631	AUC = 0.586
SMAD2-SMAD3_GSM727557	AUC = 0.586
SUMO1_GSM1012766	AUC = 0.586
CTCF_GSM749712	AUC = 0.586
CTCF_GSM1224674	AUC = 0.586
CTCF_GSM1224658	AUC = 0.586
CTCF_GSM631475	AUC = 0.586
CTCF_GSM849303	AUC = 0.586
MAML3_GSM1693100	AUC = 0.586
CTCF_GSM1022664	AUC = 0.586
NR3C1_GSM1176702	AUC = 0.586
CTCF_GSM749676	AUC = 0.586
CTCF_GSM489290	AUC = 0.585
TCF4_GSM2545830	AUC = 0.585
HEXIM1_GSM1866697	AUC = 0.585
INO80_GSM2877259	AUC = 0.585
CTCF_GSM2178296	AUC = 0.585
MYC_GSM894102	AUC = 0.585
SMC3_GSM2747757	AUC = 0.585
NIPBL_GSM1579363	AUC = 0.585
TTF2_GSM891233	AUC = 0.585
SMC3_GSM1240826	AUC = 0.585
EP300_GSM2550223	AUC = 0.585
CTCF_GSM1006887	AUC = 0.585
CTCF_GSM749759	AUC = 0.585
EBF3_GSM2410317	AUC = 0.585
CTCF_GSM631477	AUC = 0.585
CTCF_GSM614614	AUC = 0.585
CTCF_GSM1505620	AUC = 0.585
CTCF_GSM1782701	AUC = 0.585
CTCF_GSM1294055	AUC = 0.585
ZNF423_ENCSR477OJI_1	AUC = 0.585
SMC1A_GSM2592813	AUC = 0.585
CTCF_GSM749707	AUC = 0.585
CTCF_GSM749747	AUC = 0.585
ZBTB42_GSM2026742	AUC = 0.585
CTCF_GSM2599088	AUC = 0.585
CTCF_GSM749675	AUC = 0.585
NANOG_GSM2648932	AUC = 0.584
CTCF_ENCSR619IUE_2	AUC = 0.584
CTCF_GSM631479	AUC = 0.584
SUMO1_GSM1012765	AUC = 0.584
CTCF_GSM749741	AUC = 0.584
EGR1_GSM803430	AUC = 0.584
CTCF_GSM749665	AUC = 0.584
SP1_GSM2026753	AUC = 0.584
CTCF_GSM1224653	AUC = 0.584
CTCF_GSM1006874	AUC = 0.584
GLIS2_ENCSR535DIA_1	AUC = 0.584
CTCF_GSM749706	AUC = 0.584
STAG1_GSM1234076	AUC = 0.584
NCAPH2_GSM2571786	AUC = 0.584
SMC3_GSM2747761	AUC = 0.584
CTCF_ENCSR402IDP_2	AUC = 0.584
CTCF_GSM749751	AUC = 0.583
CTCF_GSM749705	AUC = 0.583
CTCF_GSM1383877	AUC = 0.583
POU5F1_ENCSR264RJX_1	AUC = 0.583
CTCF_GSM749730	AUC = 0.583
NANOG_GSM803437	AUC = 0.583
SUMO1_GSM1035424	AUC = 0.583
MED1_GSM2464863	AUC = 0.583
H2AZ_GSM1003499	AUC = 0.583
GLIS1_ENCSR482BBZ_2	AUC = 0.583
NELFE_GSM1483191	AUC = 0.583
CTCF_GSM733752	AUC = 0.583
CREBBP_GSM1239074	AUC = 0.583
CTCF_GSM733744	AUC = 0.583
CTCF_GSM1006870	AUC = 0.583
RAD21_GSM1003628	AUC = 0.583
POLR2A_GSM1579352	AUC = 0.583
H2AZ_GSM1003579	AUC = 0.583
SIN3A_GSM935289	AUC = 0.583
EMX1_GSM1327162	AUC = 0.583
CTCF_GSM749764	AUC = 0.583
MAZ_ENCSR290SSQ_1	AUC = 0.583
CTCF_GSM1234062	AUC = 0.583
SOX2_GSM1643797	AUC = 0.582
FOXH1_GSM727564	AUC = 0.582
CTCF_GSM1022667	AUC = 0.582
SMAD2-SMAD3_GSM727558	AUC = 0.582
CTCF_GSM624077	AUC = 0.582
CTCF_GSM822297	AUC = 0.582
BRD4_GSM2316300	AUC = 0.582
SUMO1_GSM1012764	AUC = 0.582
EP300_GSM1052710	AUC = 0.582
SMC3_GSM935310	AUC = 0.582
SMARCA4_ENCSR839SFJ_1	AUC = 0.582
POU5F1_GSM803438	AUC = 0.582
STAG1_GSM1234026	AUC = 0.582
YY1_GSM803513	AUC = 0.581
EOMES_GSM1505630	AUC = 0.581
CTCF_ENCSR206ETG_1	AUC = 0.581
BRD4_GSM1038270	AUC = 0.581
CTCF_GSM646455	AUC = 0.581
CTCF_GSM1006869	AUC = 0.581
GLIS1_ENCSR482BBZ_1	AUC = 0.581
ZBTB8A_ENCSR481FEC_2	AUC = 0.581
FAIRE_GSM602298	AUC = 0.581
H2AZ_GSM807391	AUC = 0.581
CTCF_GSM2809615	AUC = 0.581
STAG1_GSM1233912	AUC = 0.581
REST_GSM803335	AUC = 0.581
