CREBBP_GSM525269	AUC = 0.561
RAD21_GSM1335529	AUC = 0.561
SPI1_GSM1370292	AUC = 0.561
HES2_ENCSR964KSS_2	AUC = 0.561
MED1_GSM1463930	AUC = 0.561
TP63_GSM2350362	AUC = 0.561
CEBPD_GSM2394399	AUC = 0.561
NR1H2_GSM2042843	AUC = 0.561
TEAD2_ENCSR635GTR_2	AUC = 0.561
JMJD6_GSM1249879	AUC = 0.561
EP300_ENCSR358ELZ_2	AUC = 0.561
GATA2_GSM2817664	AUC = 0.561
RAD21_GSM2486816	AUC = 0.561
GATA1_GSM2877121	AUC = 0.561
CTCF_GSM1239390	AUC = 0.561
HES2_ENCSR356YXW_2	AUC = 0.561
TP63_GSM1366694	AUC = 0.561
MED1_GSM1670706	AUC = 0.561
TAL1_GSM957612	AUC = 0.561
GATA2_GSM722414	AUC = 0.560
EP300_ENCSR561ZRE_2	AUC = 0.560
HES2_ENCSR951SNW_1	AUC = 0.560
CEBPB_ENCSR299ILN_1	AUC = 0.560
NR3C1_ENCSR385RUW_1	AUC = 0.560
HES2_ENCSR796VBR_3	AUC = 0.560
TP63_GSM1366686	AUC = 0.560
HES2_ENCSR419TWL_1	AUC = 0.560
AR_GSM1308237	AUC = 0.560
MEIS1_GSM940322	AUC = 0.560
EP300_ENCSR610RKF_2	AUC = 0.560
HES2_ENCSR425MXK_2	AUC = 0.560
TRIM28_GSM1505798	AUC = 0.560
SUMO1_GSM1012768	AUC = 0.560
FAIRE_GSM748520	AUC = 0.560
PML_GSM468210	AUC = 0.560
SMARCA4_GSM651557	AUC = 0.560
HES2_ENCSR646EFO_1	AUC = 0.560
HES2_ENCSR078POK_1	AUC = 0.560
HES2_ENCSR425MXK_1	AUC = 0.560
IKZF1_GSM1420196	AUC = 0.559
KLF4_GSM1919982	AUC = 0.559
TP63_GSM1446927	AUC = 0.559
NR3C1_GSM1405407	AUC = 0.559
HES2_ENCSR078POK_2	AUC = 0.559
EP300_GSM1333960	AUC = 0.559
CTCF_GSM1122667	AUC = 0.559
EP300_ENCSR467VXG_2	AUC = 0.559
TP63_GSM1139039	AUC = 0.559
NEUROG2_GSM1970152	AUC = 0.559
REST_GSM1290158	AUC = 0.559
GATA3_GSM1855971	AUC = 0.559
SMARCA4_GSM1835892	AUC = 0.559
TAL1_GSM1291199	AUC = 0.559
IKZF1_GSM1420194	AUC = 0.559
NR3C1_GSM2735378	AUC = 0.559
CD74_GSM2356333	AUC = 0.559
GATA3_GSM1855970	AUC = 0.559
RBPJ_GSM729853	AUC = 0.558
REST_GSM1290171	AUC = 0.558
ZNF697_ENCSR217QCK_2	AUC = 0.558
SPI1_GSM1421019	AUC = 0.558
TCF7L2_GSM722418	AUC = 0.558
NEUROG2_GSM1970154	AUC = 0.558
JUND_GSM1010847	AUC = 0.558
ZFP64_ENCSR592KSP_2	AUC = 0.558
GATA2_GSM935373	AUC = 0.558
